1,"canTamper(controlFlow3)","OR",0
2,"RULE 13 (Discovery)","AND",1
3,"controlFlow(gpsModule,autopilot,controlFlow3)","LEAF",1
4,"bruteForceIO(autopilot)","OR",0
5,"RULE 1 (Initial Access)","AND",1
6,"weaknessApplicationLayer(ds2,gpsModule,autopilot,msp)","LEAF",1
7,"networkSniffing(gpsModule,autopilot)","OR",0
8,"RULE 7 (Impact)","AND",1
9,"execCode(gpsModule,root)","OR",0
10,"RULE 6 (Execution)","AND",0.8
11,"moduleFirmware(gpsModule)","OR",0
12,"RULE 5 (Impact)","AND",1
13,"weaknessComponent(ds6,gpsModule)","LEAF",1
14,"attackerLocated(droneAccess)","LEAF",1
15,"RULE 2 (Initial Access)","AND",1
